SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
100,main_file_0.p10.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
101,main_file_0.p9.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
102,main_file_0.p9.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
103,main_file_0.p9.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
104,main_file_0.p8.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
105,main_file_0.p8.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
106,main_file_0.p8.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
107,main_file_0.p7.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
108,main_file_0.p7.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
109,main_file_0.p7.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
